passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,passenger_first_name,travel_time,travel_time_sec,total_amount
Pamela Duffy,2017-03-25 08:55:43,2017-03-25 09:09:47,Card,6,3.34,13.0,2.76,0.0,Duffy,0 days 00:14:04,844.0,15.76
Michelle Foster,2017-04-11 14:53:28,2017-04-11 15:19:58,Card,1,1.8,16.0,4.0,0.0,Foster,0 days 00:26:30,1590.0,20.0
Tina Combs,2017-12-15 07:26:56,2017-12-15 07:34:08,Card,1,1.0,6.5,1.45,0.0,Combs,0 days 00:07:12,432.0,7.95
Anthony Ray,2017-05-07 13:17:59,2017-05-07 13:48:14,Cash,1,3.7,20.5,6.39,0.0,Ray,0 days 00:30:15,1815.0,26.89
Brianna Johnson,2017-04-15 23:32:20,2017-04-15 23:49:03,Card,1,4.37,16.5,0.0,0.0,Johnson,0 days 00:16:43,1003.0000000000001,16.5
Justin Smith,2017-03-25 20:34:11,2017-03-25 20:42:11,Card,6,2.3,9.0,2.06,0.0,Smith,0 days 00:08:00,480.00000000000006,11.06
Tonya Moreno,2017-05-03 19:04:09,2017-05-03 20:03:47,Cash,1,12.83,47.5,9.86,0.0,Moreno,0 days 00:59:38,3578.0,57.36
Hannah Foley,2017-08-15 17:41:06,2017-08-15 18:03:05,Card,1,2.98,16.0,1.78,0.0,Foley,0 days 00:21:59,1319.0,17.78
Katie Whitney,2017-02-04 16:17:07,2017-02-04 16:29:14,Cash,1,1.2,9.0,0.0,0.0,Whitney,0 days 00:12:07,727.0,9.0
Amanda Jones,2017-11-10 15:20:29,2017-11-10 15:40:55,Cash,1,1.6,13.0,2.75,0.0,Jones,0 days 00:20:26,1226.0,15.75
Cory Jensen,2017-03-04 11:58:00,2017-03-04 12:13:12,Cash,1,1.77,11.5,2.46,0.0,Jensen,0 days 00:15:12,912.0,13.96
Jamie Brown,2017-03-05 19:15:30,2017-03-05 19:52:18,Card,2,18.9,52.0,14.58,5.54,Brown,0 days 00:36:48,2208.0,72.12
Ryan Reyes,2017-06-09 19:00:26,2017-06-09 19:20:11,Card,1,3.0,15.0,3.35,0.0,Reyes,0 days 00:19:45,1185.0,18.35
Jessica Mooney,2017-11-06 23:35:05,2017-11-06 23:42:57,Card,1,2.39,9.5,2.16,0.0,Mooney,0 days 00:07:52,472.00000000000006,11.66
Heidi May,2017-02-22 15:18:31,2017-02-22 15:42:50,Cash,1,3.3,17.5,4.55,0.0,May,0 days 00:24:19,1459.0,22.05
Anthony Richard,2017-06-02 06:41:39,2017-06-02 06:57:47,Card,1,5.93,19.0,3.0,0.0,Richard,0 days 00:16:08,968.0000000000001,22.0
Sarah Gross,2017-08-15 19:48:08,2017-08-15 20:00:37,Cash,1,3.6,12.5,2.85,0.0,Gross,0 days 00:12:29,749.0,15.35
Susan Robinson,2017-07-10 13:36:31,2017-07-10 13:48:43,Cash,2,1.71,9.5,0.0,0.0,Robinson,0 days 00:12:12,732.0,9.5
Cynthia Mendoza,2017-04-10 18:12:58,2017-04-10 18:17:39,Cash,2,0.63,5.0,0.0,0.0,Mendoza,0 days 00:04:41,281.0,5.0
Zachary James,2017-03-05 04:01:07,2017-03-05 04:14:11,Card,2,2.77,11.5,3.2,0.0,James,0 days 00:13:04,784.0,14.7
Marissa Scott,2017-12-30 23:52:44,2017-12-30 23:58:57,Card,1,1.1,6.5,0.0,0.0,Scott,0 days 00:06:13,373.0,6.5
Jacqueline Mclean DVM,2017-10-11 12:34:49,2017-10-11 13:22:38,Card,1,12.3,68.25,12.0,16.26,DVM,0 days 00:47:49,2869.0,96.51
Krista Stewart,2017-01-06 20:12:07,2017-01-06 20:18:37,Cash,1,0.52,5.5,1.0,0.0,Stewart,0 days 00:06:30,390.0,6.5
Mike Taylor,2017-06-27 00:08:22,2017-06-27 00:13:45,Card,1,1.7,7.0,2.05,0.0,Taylor,0 days 00:05:23,323.0,9.05
Heather Johnson,2017-02-13 10:29:33,2017-02-13 10:34:11,Cash,1,0.9,5.5,1.25,0.0,Johnson,0 days 00:04:38,278.0,6.75
Tiffany Ramirez,2017-01-14 19:58:42,2017-01-14 20:05:59,Card,1,1.72,8.0,2.79,0.0,Ramirez,0 days 00:07:17,437.0,10.79
James Taylor,2017-11-04 01:27:59,2017-11-04 01:44:05,Card,1,2.7,13.0,2.85,0.0,Taylor,0 days 00:16:06,966.0000000000001,15.85
Gabriela Bryan,2017-11-24 10:48:13,2017-11-24 10:52:57,Cash,1,0.85,5.5,0.0,0.0,Bryan,0 days 00:04:44,284.0,5.5
Janet Hogan MD,2017-11-22 10:24:17,2017-11-22 10:38:52,Cash,1,2.3,11.0,2.35,0.0,MD,0 days 00:14:35,875.0,13.35
Jessica Cohen,2017-08-09 21:01:50,2017-08-09 21:14:28,Cash,1,2.3,10.5,1.77,0.0,Cohen,0 days 00:12:38,758.0,12.27
Katherine Martin,2017-04-12 11:07:56,2017-04-12 11:19:29,Cash,4,1.5,9.0,0.0,0.0,Martin,0 days 00:11:33,693.0,9.0
